student_id,study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
1,11.7,51.3,No,55,Pass
2,12.8,83.8,Yes,77,Pass
3,4.4,60.9,Yes,75,Pass
4,11.8,77.2,Yes,68,Pass
5,13.7,50.3,Yes,84,Pass
6,7.3,60.8,No,46,Pass
7,5.2,92.4,No,91,Pass
8,9.5,56.2,No,45,Fail
9,14.0,80.9,No,76,Pass
10,4.8,83.1,No,45,Fail
11,14.4,69.0,No,80,Fail
12,6.0,67.8,No,84,Fail
13,11.8,80.5,Yes,74,Pass
14,6.0,69.0,Yes,83,Fail
15,13.2,52.8,Yes,91,Pass
16,7.2,60.5,No,53,Fail
17,8.7,95.7,No,49,Pass
18,7.0,78.1,No,87,Fail
19,14.8,70.0,Yes,48,Fail
20,5.1,52.4,Yes,49,Fail
21,13.5,71.1,Yes,64,Pass
22,16.0,76.5,Yes,83,Fail
23,12.2,76.8,No,89,Fail
24,5.3,71.7,No,40,Fail
25,14.5,63.2,Yes,72,Fail
26,14.4,64.9,Yes,49,Fail
27,5.9,97.7,Yes,78,Fail
28,4.2,96.5,No,55,Pass
29,14.5,97.3,Yes,86,Pass
30,4.8,88.0,Yes,48,Fail
31,15.4,58.3,No,53,Fail
32,13.1,84.5,No,65,Fail
33,11.8,71.9,No,47,Pass
34,4.8,51.1,Yes,77,Pass
35,4.9,81.6,Yes,44,Fail
36,14.3,53.5,Yes,57,Fail
37,6.6,56.6,No,55,Fail
38,13.7,59.5,Yes,82,Pass
39,9.1,73.4,Yes,83,Fail
40,11.8,53.0,No,91,Fail
41,7.0,59.5,No,48,Fail
42,7.3,62.5,Yes,68,Fail
43,14.3,54.9,Yes,45,Fail
44,14.2,58.3,No,70,Pass
45,8.8,52.9,No,40,Fail
46,7.2,89.2,No,58,Fail
47,15.5,99.8,No,49,Pass
48,6.6,52.9,Yes,87,Fail
49,4.6,73.8,Yes,43,Fail
50,5.0,59.3,Yes,83,Fail
51,8.8,97.1,Yes,77,Pass
52,11.4,71.0,No,99,Pass
53,12.0,65.7,No,65,Pass
54,11.7,72.9,Yes,40,Fail
55,16.0,99.8,Yes,74,Pass
56,7.2,96.7,Yes,96,Pass
57,7.4,71.9,No,79,Fail
58,13.7,76.4,No,99,Fail
59,15.3,56.7,Yes,96,Pass
60,10.6,63.6,Yes,85,Pass
61,12.2,92.6,No,56,Fail
62,14.2,54.6,No,93,Pass
63,4.0,88.6,No,50,Fail
64,10.6,71.4,Yes,47,Pass
65,14.6,95.2,Yes,93,Pass
66,10.6,71.5,Yes,59,Pass
67,15.2,98.6,Yes,97,Pass
68,12.2,83.3,No,89,Pass
69,14.5,98.7,Yes,99,Fail
70,14.4,98.8,Yes,96,Pass
71,6.2,96.2,No,91,Fail
72,12.8,62.4,Yes,90,Fail
73,8.6,51.9,No,54,Pass
74,15.0,67.5,Yes,54,Pass
75,6.3,66.4,Yes,89,Pass
